Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Avg Entropy (bits)	Agg Entropy (bits)	Peak Time Relative	Peak Freq (Hz)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Center Time Rel.	Peak Freq Contour (Hz)	Freq Contour 50% (Hz)	File ID	Unit Quality	Family	Unit	Nb Harmonics	Chain	Chain ID	Z Shape	Z Plateau
1	Spectrogram 1	1	3.198415520	3.539371923	0.3410	4.851	5.400	0.6235	6761.426	6549.020	7858.824	1309.804	0.6235	6567.627;6567.627;6567.627;6567.627;6567.627;6567.627;7041.357;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6610.693;6610.693;6610.693;6761.426;6761.426;6761.426;6761.426;6761.426;6761.426;6761.426;6761.426;6761.426;6761.426;6675.293;7105.957;7105.957;7105.957;7105.957;6761.426;6761.426;6761.426;6761.426;6761.426;6782.959;6782.959;6782.959;6782.959;6782.959;6782.959;6782.959;6782.959;6782.959;6782.959;6761.426;6761.426;6761.426;6761.426;6739.893;6739.893;7192.090;7192.090;6653.760;6653.760;6653.760;6653.760;6804.492;6804.492;6804.492;6782.959;6782.959;6782.959;6782.959;6782.959;6912.158;6912.158;6912.158;6912.158;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6761.426;6761.426;6761.426;6761.426;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6761.426;6761.426;6761.426;6761.426;6761.426;6761.426;6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6718.359;6718.359;6718.359;6718.359;6718.359;6718.359;6826.025;6826.025;6912.158;6912.158;6912.158;6912.158;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;7127.490;7127.490;7127.490;7127.490;7127.490;7127.490;7127.490;7127.490;7127.490;7170.557;7170.557;7170.557;7170.557;7170.557;6912.158;6912.158;6912.158;6912.158;6955.225;6955.225;6955.225;6955.225;7127.490;7127.490;7127.490;7127.490;7149.023;7149.023;7149.023;7149.023;7149.023;7170.557;7170.557	7019.824;7019.824;6998.291;6998.291;6976.758;6976.758;6933.691;6847.559;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6804.492;6804.492;6804.492;6804.492;6804.492;6826.025;6847.559;6890.625;6912.158;6933.691;6976.758;6933.691;6933.691;6933.691;6933.691;6933.691;6955.225;6955.225;6976.758;6976.758;6976.758;6976.758;6955.225;6912.158;6890.625;6847.559;6804.492;6804.492;6804.492;6826.025;6890.625;6912.158;6933.691;6933.691;6955.225;6955.225;6955.225;6976.758;6976.758;6976.758;6976.758;6955.225;6933.691;6933.691;6933.691;6912.158;6912.158;6869.092;6869.092;6847.559;6847.559;6847.559;6847.559;6869.092;6890.625;6912.158;6912.158;6933.691;6933.691;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6890.625;6804.492;6782.959;6761.426;6761.426;6739.893;6739.893;6739.893;6739.893;6761.426;6826.025;6847.559;6847.559;6869.092;6869.092;6890.625;6890.625;6933.691;6933.691;6933.691;6912.158;6912.158;6912.158;6869.092;6826.025;6826.025;6826.025;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6869.092;6890.625;6912.158;6912.158;6912.158;6933.691;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;7019.824;7019.824;7041.357;7062.891;7062.891;7062.891;7062.891;7062.891;7041.357;7041.357;7041.357;7041.357;7041.357;7041.357;6998.291;6976.758;6976.758;6976.758;6955.225;6955.225;6976.758;6976.758;6976.758;7105.957;7105.957;7127.490;7149.023;7149.023;7170.557;7170.557;7170.557;7170.557	154	1	z	m	0	1	226	1	1
2	Spectrogram 1	1	3.589883982	3.779304206	0.1894	2.961	3.949	0.5106	947.461	654.902	1083.107	428.205	0.5745	1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1012.061;1012.061;1012.061;968.994;990.527;968.994;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;947.461;947.461;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;904.395;904.395;882.861;882.861;882.861;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262	1012.061;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1012.061;1012.061;990.527;990.527;990.527;968.994;968.994;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;904.395;904.395;904.395;882.861;882.861;861.328;861.328;861.328;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262	154	1	h	y	0	1	226	0	0
3	Spectrogram 1	1	5.023238768	5.210755223	0.1875	6.379	6.896	0.2366	6373.828	3686.164	8708.862	5022.698	0.4409	6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;5813.965;5813.965;5813.965;5813.965;5813.965;5813.965;5275.635;6373.828;6395.361;6395.361;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;6330.762;6115.430;6115.430;6115.430;6115.430;6115.430;6115.430;6158.496;6158.496;6158.496;6158.496;6158.496;6158.496;6158.496;6158.496;6395.361;6395.361;6115.430;6180.029;4328.174;4328.174;6373.828;6373.828;6373.828;6373.828;6373.828;6373.828;4177.441;4177.441;4177.441;4177.441;4177.441;4242.041;4242.041;4242.041;6180.029;6180.029;6180.029;6029.297;6029.297;5813.965;5813.965;5792.432;5792.432;6136.963;6136.963;6136.963;6136.963;6136.963;6136.963;6158.496;6158.496;6180.029;6180.029;6180.029;6180.029;6180.029;6180.029;6180.029;6180.029;6180.029;6115.430;6115.430;6115.430;6115.430	5792.432;5813.965;5813.965;5813.965;5792.432;5770.898;5684.766;5534.033;5447.900;5383.301;5340.234;5340.234;5340.234;5340.234;5404.834;5447.900;5620.166;5792.432;6050.830;6223.096;6330.762;6330.762;6330.762;6330.762;6201.562;6136.963;6115.430;5921.631;5749.365;5620.166;5598.633;5577.100;5577.100;5577.100;5598.633;5598.633;5620.166;5749.365;5770.898;5770.898;5813.965;5792.432;5770.898;5749.365;5684.766;5663.232;5663.232;5663.232;5663.232;5663.232;5598.633;5598.633;5577.100;5534.033;5490.967;5490.967;5512.500;5534.033;5555.566;5577.100;5663.232;5770.898;5857.031;5878.564;5878.564;5878.564;5878.564;5878.564;5835.498;5813.965;5813.965;5813.965;5813.965;5813.965;5878.564;6007.764;6093.896;6115.430;6115.430;6115.430;6115.430;6093.896;6050.830;5964.697;5964.697;5964.697;6007.764;6072.363;6093.896;6093.896;6093.896;6050.830;6007.764	154	0	r	r	na	1	227	0	0
4	Spectrogram 1	1	5.237543288	5.371483613	0.1339	2.612	3.550	0.7273	947.461	747.351	1067.949	320.598	0.6818	1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1012.061;1012.061;1012.061;990.527;990.527;990.527;990.527;968.994;968.994;968.994;968.994;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;904.395;882.861;882.861;882.861;882.861;882.861;882.861;882.861	1012.061;1012.061;1012.061;1012.061;1012.061;990.527;990.527;990.527;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1012.061;1012.061;1012.061;990.527;990.527;990.527;990.527;968.994;968.994;968.994;968.994;947.461;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;904.395;882.861;882.861;882.861;882.861;882.861;882.861;882.861	154	1	h	p	0	1	227	0	0
5	Spectrogram 1	1	5.559000067	5.666152327	0.1072	2.252	2.642	0.1154	1033.594	872.738	1086.470	213.732	0.4808	1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;968.994;968.994;968.994;968.994;968.994;968.994;947.461;947.461;947.461	1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;990.527;990.527;990.527;990.527;990.527;990.527;968.994;968.994;968.994	154	1	h	p	0	1	227	0	0
6	Spectrogram 1	1	11.535887926	11.678757606	0.1429	6.930	7.413	0.1972	2734.717	957.164	10201.358	9244.194	0.3239	2713.184;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2734.717;2799.316;2885.449;2885.449;2885.449;2885.449;2885.449;2885.449;2756.250;2756.250;2756.250;2756.250;2756.250;2756.250;2777.783;2777.783;2777.783;2777.783;2670.117;2670.117;2670.117;2670.117;2670.117;2670.117;2670.117;2670.117;2670.117;2239.453;2239.453;2260.986;2260.986;2260.986;2734.717;2734.717;2734.717;2734.717;2713.184;2713.184;2713.184;2713.184;2713.184;2713.184;2713.184;2713.184;2713.184;2713.184;2863.916;2863.916;2799.316;2799.316	4091.309;4091.309;4091.309;4091.309;4112.842;4112.842;4112.842;4091.309;3962.109;3919.043;3897.510;3875.977;3768.311;3380.713;2993.115;2928.516;2928.516;2885.449;2885.449;2906.982;2928.516;2928.516;2950.049;2971.582;2993.115;3079.248;3122.314;3143.848;3143.848;3122.314;3057.715;3036.182;3014.648;2993.115;2906.982;2885.449;2863.916;2820.850;2799.316;2799.316;2799.316;2799.316;2799.316;2799.316;2799.316;2799.316;2799.316;2799.316;2820.850;2842.383;2842.383;2863.916;2928.516;2971.582;2993.115;2993.115;2993.115;2993.115;2993.115;2971.582;2971.582;2971.582;2971.582;2971.582;2971.582;2971.582;2971.582;2971.582;2971.582;2971.582;2993.115;3057.715	154	0	r	r	na	1	228	0	0
7	Spectrogram 1	1	11.848415350	11.982355675	0.1339	2.242	2.565	1.0000	1012.061	831.222	1158.673	327.451	0.7121	904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;925.928;925.928;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061	947.461;947.461;947.461;925.928;925.928;925.928;925.928;947.461;947.461;947.461;947.461;968.994;990.527;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061	154	1	h	p	0	1	228	0	0
8	Spectrogram 1	1	13.859310579	14.055756389	0.1964	4.798	5.259	0.3673	6847.559	6599.397	7808.447	1209.050	0.4184	6675.293;6675.293;6675.293;6653.760;6653.760;6653.760;6653.760;6847.559;6847.559;6869.092;6869.092;6869.092;6869.092;6869.092;6890.625;6890.625;6890.625;6890.625;6890.625;6869.092;6869.092;6869.092;6869.092;6869.092;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6739.893;6739.893;6739.893;6739.893;6739.893;6933.691;7278.223;7278.223;7278.223;6782.959;6782.959;6782.959;6782.959;6782.959;6782.959;7019.824;7041.357;7041.357;7041.357;7041.357;7041.357;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6955.225;6955.225;6955.225;6955.225;6955.225;6610.693;6610.693;6610.693;6610.693;6610.693;6610.693;7062.891;7062.891;7062.891;7062.891;7062.891;7062.891	6782.959;6782.959;6782.959;6782.959;6847.559;6847.559;6869.092;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6847.559;6869.092;6912.158;6933.691;6933.691;6955.225;6976.758;6998.291;6998.291;7019.824;7019.824;7019.824;7019.824;7019.824;7019.824;7019.824;7019.824;7019.824;7019.824;7019.824;6933.691;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6976.758;6998.291;7019.824;7041.357;7041.357;7041.357;7041.357;7041.357;7041.357;7062.891;7062.891;7062.891	154	0	z	m	0	1	229	1	3
9	Spectrogram 1	1	14.100403164	14.466506718	0.3661	3.729	4.482	0.0984	1184.326	730.468	1284.615	554.147	0.2350	1248.926;1248.926;1248.926;1248.926;947.461;947.461;947.461;947.461;1227.393;1205.859;1205.859;1205.859;1205.859;1205.859;1184.326;1184.326;1184.326;1184.326;1184.326;1184.326;1184.326;1184.326;1184.326;1141.260;1119.727;1119.727;1119.727;1119.727;1119.727;1119.727;1119.727;1119.727;1119.727;1098.193;1119.727;1119.727;1119.727;925.928;925.928;1248.926;1248.926;1248.926;1248.926;1248.926;1227.393;1227.393;1227.393;1227.393;1227.393;1227.393;1098.193;1098.193;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1270.459;1270.459;1248.926;1248.926;1248.926;1248.926;1248.926;1227.393;1227.393;1227.393;1227.393;1227.393;1227.393;1227.393;1227.393;1227.393;1227.393;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;904.395;1119.727;1119.727;1119.727;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1270.459;1270.459;1270.459;1270.459;1270.459;1270.459;1012.061;1184.326;1184.326;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;990.527;990.527;990.527;990.527;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;775.195;775.195;775.195;775.195;775.195;775.195;775.195;775.195;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;775.195;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795	1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1184.326;1184.326;1184.326;1184.326;1184.326;1184.326;1184.326;1162.793;1162.793;1162.793;1162.793;1162.793;1141.260;1141.260;1141.260;1141.260;1119.727;1119.727;1119.727;1119.727;1119.727;1098.193;1098.193;1098.193;1098.193;1076.660;1076.660;1055.127;1055.127;1055.127;1076.660;1098.193;1098.193;1098.193;1119.727;1119.727;1119.727;1119.727;1119.727;1119.727;1098.193;1098.193;1098.193;1098.193;1098.193;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1098.193;1119.727;1162.793;1205.859;1227.393;1227.393;1227.393;1227.393;1227.393;1227.393;1205.859;1205.859;1205.859;1205.859;1141.260;1119.727;1076.660;1033.594;1012.061;990.527;947.461;947.461;925.928;925.928;947.461;968.994;1033.594;1055.127;1055.127;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;990.527;990.527;990.527;990.527;990.527;990.527;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;968.994;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;861.328;861.328;861.328;861.328;861.328;882.861;882.861;882.861;882.861;882.861;882.861;882.861;882.861;861.328;861.328;861.328;861.328;861.328;861.328;861.328	154	0	h	y	0	1	229	0	0
10	Spectrogram 1	1	22.094853508	22.514533193	0.4197	4.475	5.163	0.1619	7816.553	7632.127	8463.348	831.221	0.5333	8204.150;8204.150;7773.486;7773.486;7773.486;7773.486;7795.020;7795.020;7795.020;7795.020;7795.020;7795.020;7795.020;7795.020;7795.020;7816.553;7816.553;7816.553;7816.553;7773.486;7773.486;7773.486;7773.486;7773.486;7773.486;7773.486;7773.486;7795.020;7795.020;7795.020;7816.553;7816.553;7816.553;7816.553;7816.553;7816.553;7816.553;7816.553;7816.553;7816.553;7795.020;7795.020;7795.020;8247.217;8247.217;8247.217;8247.217;8268.750;8268.750;8268.750;8161.084;8161.084;8161.084;8161.084;7644.287;7665.820;7665.820;8268.750;8268.750;8247.217;8247.217;8247.217;8247.217;8268.750;8333.350;8333.350;8333.350;7644.287;7644.287;7665.820;7665.820;7665.820;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;7859.619;7859.619;7859.619;7859.619;7859.619;8031.885;8031.885;8031.885;8031.885;8031.885;8031.885;8031.885;8031.885;8031.885;8031.885;8311.816;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8096.484;8096.484;7988.818;7988.818;7988.818;7773.486;7773.486;7773.486;7773.486;7795.020;7795.020;7795.020;7795.020;7795.020;7924.219;7924.219;7924.219;7924.219;7924.219;7924.219;7924.219;7924.219;7924.219;7924.219;7859.619;7859.619;7859.619;7859.619;7859.619;7859.619;7859.619;7902.686;7902.686;7924.219;7924.219;7924.219;7924.219;7924.219;7945.752;7945.752;7945.752;7945.752;7945.752;8268.750;8268.750;8268.750;8290.283;8290.283;8290.283;8290.283;8290.283;8290.283;8462.549;8462.549;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8462.549;8311.816;8118.018;8118.018;8118.018;8118.018;8118.018;7687.354;7687.354;7687.354	7902.686;7924.219;7902.686;7902.686;7902.686;7902.686;7881.152;7881.152;7881.152;7881.152;7859.619;7859.619;7859.619;7838.086;7838.086;7859.619;7881.152;7881.152;7881.152;7881.152;7881.152;7859.619;7816.553;7795.020;7795.020;7795.020;7795.020;7795.020;7795.020;7795.020;7816.553;7816.553;7816.553;7816.553;7816.553;7816.553;7816.553;7838.086;7838.086;7838.086;7988.818;8031.885;8053.418;8118.018;8204.150;8225.684;8204.150;8182.617;8161.084;8161.084;8139.551;8139.551;8139.551;8096.484;8074.951;8053.418;8074.951;8096.484;8118.018;8139.551;8182.617;8182.617;8204.150;8204.150;8204.150;8204.150;8204.150;8161.084;8096.484;8031.885;8010.352;7988.818;7988.818;8010.352;8010.352;8010.352;8010.352;8010.352;7924.219;7902.686;7902.686;7902.686;7945.752;8010.352;8031.885;8031.885;8031.885;8031.885;8053.418;8053.418;8053.418;8074.951;8096.484;8096.484;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8118.018;8096.484;8096.484;8074.951;8031.885;8010.352;7988.818;7988.818;7967.285;7967.285;7967.285;7967.285;8031.885;8031.885;8010.352;7967.285;7967.285;7945.752;7945.752;7945.752;7945.752;7945.752;7945.752;7945.752;7924.219;7924.219;7924.219;7924.219;7902.686;7902.686;7902.686;7902.686;7902.686;7902.686;7902.686;7924.219;7924.219;7924.219;7924.219;7945.752;7945.752;7945.752;7967.285;8031.885;8031.885;8053.418;8096.484;8139.551;8139.551;8161.084;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8204.150;8225.684;8225.684;8311.816;8354.883;8354.883;8354.883;8354.883;8354.883;8354.883;8354.883;8354.883;8354.883;8354.883;8333.350;8311.816;8290.283;8268.750;8096.484;8096.484;8096.484;8096.484;8096.484;8118.018;8139.551;8225.684;8247.217;8247.217;8290.283;8290.283;8311.816;8311.816;8311.816;8311.816;8311.816;8290.283;8247.217;8225.684;8139.551;8139.551;8118.018;8118.018;8096.484;8010.352;8010.352;8010.352;8010.352;8010.352	154	0	z	i	0	0	na	2	1
